Sentiment Entity	Freq	Synonym	leave/ remain	Politician
 dent G4S	23	G4S		
 Editor	23			
 England.	23	England		
 Enoch Powell	23	 Enoch Powell		False
 European Economic Area	23	 European Economic Area		
 European Economic Community	23	 European Economic Community		
 George Eustice	23	George Eustice	leave	True
 HONG KONG	23	Hong kong		
 Kent	23	Kent		
 Manchester.	23	Manchester		
 National Australia Bank	23	 National Australia Bank		
 ORB	23	ORB		
 Rolls-Royce	23	 Rolls-Royce		
 Sir Philip Green	23	Philip Green		False
 Taiwan	23	 Taiwan		
 Theresa Villiers	23	 Theresa Villiers	leave	True
 Vice President	23			
 Angela Eagle	22	 Angela Eagle	remain	True
 Banks	22			
 Calais	22	Calais		
 Citi	22	Citigroup		
 Commissioner	22			
 David Jones	22	 David Jones		False
 Donald Trump.	22	Trump		
 DoubleLine Capital	22	 DoubleLine Capital		
 England Wales	22			
 Essentra	22	 Essentra		
 Federal Reserve Bank	22	Fed		
 Gov. Jerry Brown	22	 Jerry Brown		False
 Jerome Powell	22	 Jerome Powell		False
 John Curtice	22	 John Curtice		False
 Leicester.	22	Leicester		
 Leyen	22	Ursula von der Leyen		
 Peter Hargreaves	22	 Peter Hargreaves		False
 Pew Research Center	22	 Pew Research Center		
 Prime Minister Margaret Thatcher	22	Margaret Thatcher		
 Richard Huckle	22	 Richard Huckle		False
 Sainsbury	22	 Sainsbury		
 Samantha	22	Samantha Cameron	remain	False
 Simon Paine	22	 Simon Paine		False
 Singapore.	22	Singapore		
 Sky	22	 Sky		
 soccer	22	football		
 Thailand	22	 Thailand		
 The Bank of England Swiss National Bank	22			
 The Bank of Japan	22	Bank of Japan		
 The World Bank	22	World Bank		
 Tokyo.	22	Tokyo		
 UKIP.	22	UKIP		
 Vladimir Putin	22	Vladimir Putin		
 Adele	21	Adele		
 Airbus	21	 Airbus		
 Alex Cole-Hamilton	21	 Alex Cole-Hamilton	remain	True
 Axioma.	21			
 BlackRock	21	 BlackRock		
 BPI	21	 BPI		
 Chris Hare	21	 Chris Hare		False
 Common Fisheries	21	 Common Fisheries		
 Conservative Government	21			
 DMJ Advisors.	21			
 EEA	21	European Economic Association		
 Gold	21			
 Harold Wilson	21	 Harold Wilson		
 Heather Long	21	 Heather Long		False
 Ipsos MORI	21	 Ipsos MORI		
 Japan.	21	Japan		
 justice minister	21			
 Justin Welby	21	 Justin Welby	remain	False
 Labour government	21	Labour Party		
 Leave camp	21	leave		
 Maastricht	21	Maastrict Treaty		
 Mainland Chinese	21			
 Milan	21	Milan		
 Moscow	21	 Moscow		
 MSCI Inc	21	MSCI		
 Nigel Farage.	21	Nigel Farage		
 Opec	21	OPEC		
 President Mario Draghi	21	Mario Draghi		
 Puerto Rico	21	 Puerto Rico		
 Reserve Bank of Australia	21	 Reserve Bank of Australia		
 Roberto Perli	21	 Roberto Perli		False
 South West	21			
 The Daily Telegraph	21	Daily Telegraph		
 Wolseley	21	 Wolseley		
 YouTube	21	 YouTube		
 Alberta	20	 Alberta		
 Amazon	20	 Amazon		
 Bangladesh	20	 Bangladesh		
 Bernard Jenkin	20	 Bernard Jenkin	leave	True
 California State University Channel Islands	20	 California State University Channel Islands		
 CETA.	20	 CETA		
 Clintons	20	Hilary Clinton		
 David	20			
 E.U.	20	European Union		
 Estelle Shirbon	20	 Estelle Shirbon		False
 German government	20	 German government		
 Gove	20	Michael Gove		
 Hugh Lawson	20	 Hugh Lawson		False
 Institute for Fiscal Studies	20	IFS		
 Jordan Parker	20	 Jordan Parker		False
 Leeds	20	Leeds		
 Marc Chandler	20	 Marc Chandler		False
 Martin Lewis	20	 Martin Lewis		False
 Matthew Goodwin	20	 Matthew Goodwin		False
 Mr Osborne	20	George Osborne		
 NFP	20			
 Prime Minister Narendra Modi	20	Narendra Modi		
 Qatar	20	 Qatar		
 Ryanair	20	 Ryanair		
 Sheila Richie	20	 Sheila Richie		False
 South China Sea	20	China		
 Sports Direct	20	 Sports Direct		
 Stephen Hawking	20	 Stephen Hawking		False
 Supreme Court	20			
 Turkey Albania	20			
 Vodafone	20	Vodafone		
 accountant	19			
 AMERICA	19	USA		
 BNP	19	BNP		
 Boris Schlossberg	19	 Boris Schlossberg		False
 BP Plc	19	BP		
 Carwyn Jones	19	 Carwyn Jones		True
 China Enterprises Index	19	Hang Seng		
 Citron Research	19	 Citron Research		
 CME Group	19	 CME Group		
 Credit Suisse	19	 Credit Suisse		
 Crest Nicholson	19	 Crest Nicholson		False
 Daniel Hannan	19	 Daniel Hannan		False
 David Davis	19	 David Davis	leave	True
 Disney	19	 Disney		
 Finance Minister Wolfgang Schaeuble	19	Wolfgang Schaeuble		
 Forbes	19	Forbes		
 Institute of Fiscal Studies	19	IFS		
 Irish government	19	Irish Government		
 John Cleese	19	 John Cleese		False
 Latin America	19	 Latin America		
 Mr Corbyn	19	Jeremy Corbyn		
 MSCI Inc.	19	MSCI		
 Newcastle	19	 Newcastle		
 Norman Lamont	19	 Norman Lamont	leave	True
 Obama administration	19	Barack Obama		
 Opinium	19	 Opinium		
 Poloz	19	Stephen Poloz		
 Prime Minister Justin Trudeau	19	Justin Trudeau		
 Putin	19	Vladimir Putin		
 Russia.	19	Russia		
 Shinzo Abe	19	Shinzo Abe		
 The British Phonographic Industry	19	British Phonographic Industry		
 UK Border Force	19	UK Border Force		
