Var1	Freq	Synonym	Remain/leave	Politician
 50 years	36			
 51.9%	36			
 assault	36			
 Cameron outmanoeuvred Boris	36			
 Crabb	36	Stephen Crabb		True
 Dan Hannan	36	Daniel Hannan		
 David Ca	36	David Cameron		
 director	36			
 IFS	36	 IFS		
 John Kerry	36	 John Kerry		
 misandry	36			
 one hand	36			
 professor	36			
 Square London	36			
 stigmatise Brexit	36			
 Traf	36			
 @_JuliHahn	35			
 @DCBMEP	35	David C Bannerman	leave	
 @douglascarswel	35	Douglas Carswell	leave	True
 @DrDomGB	35	Dominic Cook		
 @EmmaDuttonMBE	35	Emma Dutton		
 @EricStoller	35	Eric Stoller		
 @eureferendum	35			
 @GAPonsonby	35			
 @GuidoFawkes	35			
